,book_id,title,category,char_type,aozora_url,author_id,author_role,publisher,date_published,book_url,char_count,book_type,year_pub
14155,2823,漱石の「行人」について,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2823.html,311,著者,新日本出版社,1980（昭和55）年1月20日,https://www.aozora.gr.jp/cards/000311/files/2823_8912.html,3609.0,shortshort,1980.0
14156,3837,総選挙に誰れを選ぶか？,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3837.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3837_13044.html,130.0,flash,1981.0
14157,3988,想像力,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3988.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3988_13046.html,787.0,flash,1981.0
14158,4021,相当読み応えのあったものは？,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card4021.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/4021_13045.html,272.0,flash,1981.0
14159,3454,その檻をひらけ,NDC 367 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3454.html,311,著者,新日本出版社,1980（昭和55）年6月20日,https://www.aozora.gr.jp/cards/000311/files/3454_12360.html,466.0,flash,1980.0
14160,3916,その頃,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3916.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3916_13041.html,349.0,flash,1981.0
14161,3121,その先の問題,NDC 367,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3121.html,311,著者,新日本出版社,1979（昭和54）年7月20日,https://www.aozora.gr.jp/cards/000311/files/3121_10725.html,1856.0,flash,1979.0
14162,3004,その柵は必要か,NDC 910 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3004.html,311,著者,新日本出版社,1979（昭和54）年11月20日,https://www.aozora.gr.jp/cards/000311/files/3004_10125.html,14837.0,novelette,1979.0
14163,2000,その年,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2000.html,311,著者,新日本出版社,1979（昭和54）年12月20日,https://www.aozora.gr.jp/cards/000311/files/2000_6534.html,14302.0,novelette,1979.0
14164,3288,その願いを現実に,NDC 367 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3288.html,311,著者,新日本出版社,1980（昭和55）年5月20日,https://www.aozora.gr.jp/cards/000311/files/3288_10966.html,1431.0,flash,1980.0
