作品ID,作品名,人物ID,XHTML/HTMLファイルURL
18,闇中問答,879,https://www.aozora.gr.jp/cards/000879/files/18_14822.html
3767,案頭の書,879,https://www.aozora.gr.jp/cards/000879/files/3767_27279.html
43362,飯田蛇笏,879,https://www.aozora.gr.jp/cards/000879/files/43362_26111.html
16034,遺書,879,https://www.aozora.gr.jp/cards/000879/files/16034_33783.html
3750,イズムと云ふ語の意味次第,879,https://www.aozora.gr.jp/cards/000879/files/3750_27280.html
3748,一番気乗のする時,879,https://www.aozora.gr.jp/cards/000879/files/3748_27281.html
57,一夕話,879,https://www.aozora.gr.jp/cards/000879/files/57_15160.html
3761,伊東から,879,https://www.aozora.gr.jp/cards/000879/files/3761_27282.html
58,糸女覚え書,879,https://www.aozora.gr.jp/cards/000879/files/58_14823.html
43363,犬養君に就いて,879,https://www.aozora.gr.jp/cards/000879/files/43363_26112.html
56,犬と笛,879,https://www.aozora.gr.jp/cards/000879/files/56_15161.html
55,芋粥,879,https://www.aozora.gr.jp/cards/000879/files/55_14824.html
4274,岩野泡鳴氏,879,https://www.aozora.gr.jp/cards/000879/files/4274_6766.html
177,魚河岸,879,https://www.aozora.gr.jp/cards/000879/files/177_15162.html
4312,内田百間氏,879,https://www.aozora.gr.jp/cards/000879/files/4312_33645.html
51864,産屋,879,https://www.aozora.gr.jp/cards/000879/files/51864_40606.html
174,馬の脚,879,https://www.aozora.gr.jp/cards/000879/files/174_15163.html
175,海のほとり,879,https://www.aozora.gr.jp/cards/000879/files/175_15164.html
3823,囈語,879,https://www.aozora.gr.jp/cards/000879/files/3823_27298.html
176,運,879,https://www.aozora.gr.jp/cards/000879/files/176_15165.html
3751,永久に不愉快な二重生活,879,https://www.aozora.gr.jp/cards/000879/files/3751_27283.html
35,英雄の器,879,https://www.aozora.gr.jp/cards/000879/files/35_15166.html
43364,江口渙氏の事,879,https://www.aozora.gr.jp/cards/000879/files/43364_26113.html
3825,槐,879,https://www.aozora.gr.jp/cards/000879/files/3825_27284.html
118,老いたる素戔嗚尊,879,https://www.aozora.gr.jp/cards/000879/files/118_14835.html
117,往生絵巻,879,https://www.aozora.gr.jp/cards/000879/files/117_14836.html
3763,鸚鵡,879,https://www.aozora.gr.jp/cards/000879/files/3763_27285.html
123,大川の水,879,https://www.aozora.gr.jp/cards/000879/files/123_15167.html
49328,大久保湖州,879,https://www.aozora.gr.jp/cards/000879/files/49328_33646.html
3824,Ｏ君の新秋,879,https://www.aozora.gr.jp/cards/000879/files/3824_27286.html
115,尾形了斎覚え書,879,https://www.aozora.gr.jp/cards/000879/files/115_14856.html
116,おぎん,879,https://www.aozora.gr.jp/cards/000879/files/116_15168.html
119,お時儀,879,https://www.aozora.gr.jp/cards/000879/files/119_15169.html
125,おしの,879,https://www.aozora.gr.jp/cards/000879/files/125_15170.html
126,お富の貞操,879,https://www.aozora.gr.jp/cards/000879/files/126_14861.html
3826,鬼ごつこ,879,https://www.aozora.gr.jp/cards/000879/files/3826_27287.html
124,お律と子等と,879,https://www.aozora.gr.jp/cards/000879/files/124_15171.html
121,温泉だより,879,https://www.aozora.gr.jp/cards/000879/files/121_15172.html
120,女,879,https://www.aozora.gr.jp/cards/000879/files/120_15173.html
67,開化の良人,879,https://www.aozora.gr.jp/cards/000879/files/67_15174.html
66,開化の殺人,879,https://www.aozora.gr.jp/cards/000879/files/66_14906.html
65,貝殻,879,https://www.aozora.gr.jp/cards/000879/files/65_14907.html
3764,解嘲,879,https://www.aozora.gr.jp/cards/000879/files/3764_27288.html
3800,蛙,879,https://www.aozora.gr.jp/cards/000879/files/3800_27289.html
43365,格さんと食慾,879,https://www.aozora.gr.jp/cards/000879/files/43365_26114.html
64,影,879,https://www.aozora.gr.jp/cards/000879/files/64_15175.html
74,片恋,879,https://www.aozora.gr.jp/cards/000879/files/74_15176.html
3814,かちかち山,879,https://www.aozora.gr.jp/cards/000879/files/3814_27290.html
3772,学校友だち,879,https://www.aozora.gr.jp/cards/000879/files/3772_27291.html
69,河童,879,https://www.aozora.gr.jp/cards/000879/files/69_14933.html
45761,河童,879,https://www.aozora.gr.jp/cards/000879/files/45761_39095.html
3802,南瓜,879,https://www.aozora.gr.jp/cards/000879/files/3802_27292.html
68,神神の微笑,879,https://www.aozora.gr.jp/cards/000879/files/68_15177.html
3766,「仮面」の人々,879,https://www.aozora.gr.jp/cards/000879/files/3766_27293.html
